id,year,politicalparty,majortopic,subtopic,sentence text
16,1982,PSOE,20,2001,Por incapacidad y ausencia de objetivos nos encontramos al final de esta legislatura sin concluir el mapa autonómico y sin haber terminado de realizar las transferencias a las que tienen derecho las Comunidades Autónomas
17,1982,PSOE,20,2099,Asimismo toda la magnífica riqueza potencial de libertades individuales y sociales que contiene nuestra Constitución ha permanecido congelada y sin desarrollar 
18,1982,PSOE,20,2002,Las viejas e ineficaces estructuras de la Administración han permanecido intocadas haciendo baldío el esfuerzo de muchos de los que en ella trabajan 
19,1982,PSOE,20,2002,Ello ha permitido que nuestra Administración Pública siga siendo una trinchera de privilegios y prebendas un aparato hostil a los ciudadanos y a los contribuyentes
20,1982,PSOE,5,504,Las relaciones industriales siguen siendo poco fluidas a pesar del sentido de responsabilidad de los sindicatos porque los sucesivos gobiernos con una miopía histórica no han sido capaces de entender que los sindicatos son piezas esenciales del mecanismo de una sociedad industrializada
21,1982,PSOE,23,2301, La cultura ha seguido entendiéndose como un trastero que puede dirigir burocráticamente cualquier pretencioso personaje y los niveles de la misma siguen siendo totalmente insuficientes para satisfacer a un pueblo imaginativo y deseoso de aprender
22,1982,PSOE,13,1300,Los servicios sociales la sanidad la vivienda la educación siguen infradesarrollados y son centros de despilfarro y mala gestión 
23,1982,PSOE,13,1300,Todo este cúmulo de desaciertos y de problemas sin resolver ha llevado a nuestra sociedad a ser más injusta a tener bolsas de marginación cada día mayores y a ampliar la desigualdad; a crear un clima de pesimismo y desánimo del que hay que salir con decisión y realismo
24,1982,PSOE,5,500,Nuestro programa ataca estos problemas de forma armónica y equilibrada teniendo como objetivo prioritario la creación de empleo
25,1982,PSOE,1,100,La magnitud de la crisis económica internacional junto al nivel de ineficacia alcanzado por nuestras estructuras productivas tanto públicas como privadas no permite a nadie responsable manifestar que es de fácil e inmediata solución 
26,1982,PSOE,1,100,No obstante existen márgenes de maniobra no despreciables dentro de la coyuntura económica para ir modernizando nuestros aparatos productivos reavivar la actividad económica generar en cuatro años un paquete importante de nuevos puestos de trabajo que aligere considerablemente la lacra social del paro
27,1982,PSOE,1,100,Crear empleo mejorar la productividad modernizar el país racionalizar las relaciones industriales elevar los niveles tecnológicoorganizativos supone en definitiva situar a España dentro del contexto internacional en el lugar que se merece; 
28,1982,PSOE,1,100,Esto exige aplicar gradualmente un abanico de sincronizadas medidas dinamizadoras no sólo en el ámbito macroeconómico sino también en la empresa en la Administración en el sector público en el área de los servicios sociales en la esfera de los derechos y libertades en lo internacional y en la defensa 
29,1982,PSOE,1,100,El programa socialista no se basa sólo en un objetivo de mero crecimiento cuantitativo y economicista sino que lo conjuga con el aumento de la calidad de vida la mayor independencia nacional y con una mayor libertad y justicia
30,1982,PSOE,1,100,Por eso en las páginas que se ofrecen a continuación el ciudadano encontrará junto a la planificación concertada el mantenimiento de la capacidad adquisitiva de los salarios un crédito transparente la reestructuración de la Empresa Pública la reducción de los costes de la Seguridad Social que gravitan sobre las empresas 
31,1982,PSOE,3,300,otros tantos proyectos para desterrar el despilfarro de la Sanidad y ofrecer prestaciones de mayor calidad 
32,1982,PSOE,6,600,para mejorar y democratizar la educación pública y privada para extender la cultura 
33,1982,PSOE,20,2007,para erradicar corrupciones y privilegios en la Administración para conseguir una justicia más eficiente rápida y gratuita para proteger los derechos personales y asegurar los derechos de participación
34,1982,PSOE,999,999,Todas estas medidas están concebidas para resolver o para empezar a solucionar seriamente los problemas que tiene el país y que afectan a la gran mayoría de los españoles desde una perspectiva progresista y solidaria
35,1982,PSOE,999,999,Hay que apartar de una vez por todas los obstáculos y resistencias que ponen los grupos reaccionarios frente al avance y a la aspiración a la igualdad y a la libertad 
36,1982,PSOE,999,999,Hay que arrumbar los viejos métodos las estructuras caducas y las viejas e ineficaces técnicas y poner al servicio del hombre y de la comunidad la nueva tecnología y la ciencia para producir más rentablemente 
37,1982,PSOE,999,999,Hoy los ciudadanos pueden optar por soltar todos estos lastres históricos porque el sistema democrático a través de las urnas posibilita el cambio 
38,1982,PSOE,999,999,La realización de nuestro proyecto exige junto a una firme acción de Gobierno la colaboración decidida de los ciudadanos y su participación en el esfuerzo común incorporándose al cambio
39,1982,PSOE,999,999,Este programa asume las esperanzas y las aspiraciones de la mayoría y debe tener el respaldo de la mayoría electoral de forma clara para poder ponerlo en práctica con serenidad y decisión
40,1982,PSOE,1,100,1 LA CRISIS ECONÓMICA Y EL EMPLEO
41,1982,PSOE,5,500,1 CREAR EMPLEO OBJETIVO PRIORITARIO
42,1982,PSOE,5,500,La creación de puestos de trabajo es el principal reto al que ha de enfrentarse la sociedad española durante los próximos años 
43,1982,PSOE,5,500,Por ello el empleo es el objetivo prioritario del programa socialista 
44,1982,PSOE,5,500,Es necesario crear puestos de trabajo para los más de dos millones de parados que existen en la actualidad
45,1982,PSOE,5,506, Y también se requieren puestos de trabajo para los jóvenes y mujeres que acuden por primera vez a solicitar su ingreso en la vida laboral 
46,1982,PSOE,5,500,Para ello el PSOE se propone crear más de 800000 empleos netos durante los cuatro años de gestión gubernamental
47,1982,PSOE,1,100,Será necesario conseguir un ritmo de crecimiento económico suficiente para crear ese volumen de empleo a la vez que se incrementa el nivel de competitividad de la economía española
48,1982,PSOE,5,500,Para alcanzar ese objetivo se adoptarán políticas específicas de empleo que a través de la solidaridad de los que ya cuentan con un puesto de trabajo permitan reducir la edad de jubilación reducir la jornada de trabajo y escolarizar al máximo número posible de jóvenes
49,1982,PSOE,5,506,Buena parte de los puestos de trabajo que se ofrezcan serán de nueva creación por lo que se elaborarán medidas suplementarias en orden a la cualificación y formación de jóvenes y desempleados
50,1982,PSOE,1,100,Se hace necesaria por tanto una política expansiva desarrollada dentro de un plan general de crecimiento a medio plazo que lleve a cabo la indispensable modernización de la economía 
51,1982,PSOE,1,100,Ello requiere un crecimiento apoyado en la inversión la exportación y la mejora de la calidad de vida corrigiendo los actuales desequilibrios mediante la realización de un esfuerzo nacional distribuido entre todos con justicia
52,1982,PSOE,1,105,La inversión pública actuará como motor de la economía 
53,1982,PSOE,5,500,En el Presupuesto de cada año se preverá un Fondo de Acción Coyuntural para la creación de puestos de trabajo cuya aplicación será objeto de negociación con los interlocutores sociales 
54,1982,PSOE,1,100,Pero es la inversión privada la determinante en el volumen de la creación de empleos 
55,1982,PSOE,1,101,Por ello se propondrá: un plan concertado que elimine incertidumbres de tipo institucional y de política económica; la moderación de costes tanto salariales como de seguridad social y financieros; el establecimiento de canales de financiación a largo plazo; el fomento del ahorro para financiar la inversión; el ahorro de costes de energía y el control de la inflación
56,1982,PSOE,5,500,El empleo en la negociación colectiva
57,1982,PSOE,5,505,La negociación colectiva debe llevarse a cabo según el esquema adoptado en los últimos años fijando la banda salarial en torno a la inflación prevista 
58,1982,PSOE,5,505,Los acuerdos salariales anuales deben garantizar el mantenimiento del poder adquisitivo de los salarios
59,1982,PSOE,5,505,La negociación a escala de empresas deberá centrarse en la mejora de las condiciones de trabajo y en la distribución del excedente obtenido por mejoras de la productividad
60,1982,PSOE,5,505,Las prioridades socialistas para la distribución de este excedente son: invertir en expansión y creación de empleo; reducir jornada sustituyendo las horas liberadas por nuevos contratos; mejorar las condiciones de trabajo y la participación de los trabajadores en los beneficios de la empresa; y remunerar el ahorro para fomentar la inversión
61,1982,PSOE,5,505,Todas estas medidas y objetivos exigen la participación real de los trabajadores en la marcha de las empresas
62,1982,PSOE,5,505,Reducción de los costes salariales no laborales
63,1982,PSOE,5,599,La actual carga que las cotizaciones de la Seguridad Social suponen para las empresas es una barrera para la creación de puestos de trabajo
64,1982,PSOE,5,599,Por ello se duplicará la aportación actual del Estado reduciendo en un veinte por ciento la cotización empresarial 
65,1982,PSOE,5,599,Las cotizaciones tenderán a ser proporcionales al total de remuneraciones salariales
66,1982,PSOE,5,505,El funcionamiento del mercado de trabajo
67,1982,PSOE,5,505,Se modificará la regulación de la contratación laboral para asegurar el control sindical y administrativo de su aplicación a los distintos supuestos 
68,1982,PSOE,5,505,Además se favorecerá la conversión de los contratos especiales en ordinarios
69,1982,PSOE,5,505,Los contratos temporales constituirán un recurso excepcional evitándose que representen para algunos colectivos la única vía posible de acceso a un trabajo remunerado
70,1982,PSOE,5,505,Se promocionarán los contratos a tiempo parcial por su adecuación a las circunstancias actuales 
71,1982,PSOE,5,505,Sin embargo y en tanto no mejore sustancialmente la coyuntura de empleo su uso seguirá promoviéndose dentro de los colectivos actualmente incluidos y de las mujeres que buscan su primer empleo
72,1982,PSOE,5,506,Para facilitar la inserción de los jóvenes en la vida laboral se difundirá asimismo la utilización de los contratos en prácticas y para la formación poniendo los medios para que puedan concluir en contratos ordinarios
73,1982,PSOE,5,503,La solidaridad para crear puestos de trabajo
74,1982,PSOE,5,503,Con carácter general se rebajará en el plazo de un año la edad de jubilación a los 64 años y las jubilaciones anticipadas podrán iniciarse a los 59 años con coeficientes reductores
75,1982,PSOE,5,503,Se marcará la tendencia a la reducción de la edad de jubilación mediante un ritmo de rebaja de 6 meses cada año
76,1982,PSOE,5,501,Los trabajos penosos tóxicos y peligrosos tendrán una regulación más favorable
77,1982,PSOE,5,503,Se creará la figura del contrato de relevo consistente en la jubilación progresiva de trabajadores mayores de 60 años y su sustitución por jóvenes en busca del primer empleo
78,1982,PSOE,5,503,Se apoyará la jubilación anticipada con carácter voluntario especialmente cuando exista la posibilidad de sustitución por jóvenes trabajadores a través de la negociación
79,1982,PSOE,6,602,El PSOE extenderá la escolarización plena hasta los 16 años y favorecerá la prolongación de la escolarización hasta los 18 años
80,1982,PSOE,6,604,Se dará prioridad a la expansión y reordenación de la formación profesional
81,1982,PSOE,5,505,Durante el primer año se fijará la jornada laboral legal en 40 horas semanales y en 30 días las vacaciones anuales 
82,1982,PSOE,5,505,Se mantendrá sin embargo el objetivo de las 35 horas al que deberá tenderse a través de las negociaciones colectivas que deberán avanzar hacia la consecución de la quinta semana de vacaciones
83,1982,PSOE,5,505,Se recomendará en las negociaciones colectivas reducciones superiores de jornada como fórmula de remuneración de los aumentos de productividad
84,1982,PSOE,5,500,Creación directa de empleo por el sector público
85,1982,PSOE,5,500,Se constituirá anualmente con cargo a los Presupuestos del Estado un Fondo para la creación de empleos temporales por las Corporaciones Locales 
86,1982,PSOE,5,500,Tal fondo se distribuirá por las Comunidades Autónomas atendiendo a un conjunto de indicadores objetivos para su distribución entre los que tendrán prioridad el desempleo relativo y el grado de desprotección existente en cada área
87,1982,PSOE,5,500,Se fomentará el empleo cooperativo posibilitando la utilización global de las percepciones a qué tengan derecho los desempleados como aportación al capital de la cooperativa
88,1982,PSOE,5,500,Se establecerá un programa temporal de bonificaciones fiscales y de cotizaciones de la Seguridad Social para el fomento de nuevas iniciativas empresariales generadoras de empleo 
89,1982,PSOE,5,500,Al mismo podrán acogerse las pequeñas empresas de nueva creación siempre que den empleo a un mínimo de cuatro trabajadores y a un máximo de 10 de los que al menos la mitad sean desempleados o busquen por primera vez un empleo
90,1982,PSOE,1,100,2 LA PLANIFICACIÓN CONCERTADA
91,1982,PSOE,1,100,La planificación y el mercado son instrumentos fundamentales en el desarrollo de una política racional para lograr el máximo bienestar y el óptimo aprovechamiento de los recursos del país
92,1982,PSOE,1,100,La planificación democrática consagrada en los artículos 38 y 131 de la Constitución es necesaria para responder a los desafíos económicos y sociales de la sociedad atender a las necesidades colectivas equilibrar el desarrollo regional y sectorial y estimular el crecimiento de la renta y su más justa distribución
93,1982,PSOE,1,100,El mercado como mecanismo de asignación de recursos tiene el valor de información y decisión en el funcionamiento de la economía facilitando la libre elección del consumidor entre diversas alternativas 
94,1982,PSOE,1,100,Su papel es fundamental para la adopción de decisiones económicas y para la gestión empresarial
95,1982,PSOE,1,100,La existencia de un Plan a medio plazo que sea la expresión de los grandes objetivos económicos nacionales y que comprometa por tanto a todos los grandes agentes o fuerzas económicosociales es una condición fundamental para la reducción de incertidumbres
96,1982,PSOE,1,100,Un reparto claro de responsabilidades entre el sector empresarial y el Estado con el objeto de que las acciones entre uno y otro sector se refuercen y no se obstaculicen parece hoy día más necesario que nunca
97,1982,PSOE,1,100,"Para salir de la crisis es fundamental avanzar hacia una ""economía concertada"" en la que exista un importante sector de mercado con una clase empresarial dinámica un sector público eficiente y unos sindicatos fuertes"
98,1982,PSOE,1,100,La planificación democrática y concertada tendrá como líneas fundamentales las siguientes:
99,1982,PSOE,1,100,1 Como proceso político se basará en la formulación de objetivos económicos coincidentes con la legislatura ajustándose anualmente en los Presupuestos Generales del Estado
100,1982,PSOE,1,100,2 La articulación entre los intereses generales de la Nación y la construcción del Estado de las Autonomías de acuerdo con el mandato del artículo 131 de la Constitución
101,1982,PSOE,1,105,3 La ordenación y control del gasto público de modo que pueda responder mejor a las necesidades de los ciudadanos
102,1982,PSOE,1,100,4 Dentro de este marco el Consejo Económico y Social previsto en la Constitución será el instrumento básico de concertación información y negociación
103,1982,PSOE,1,100,5 Como apoyo a este proceso se procederá a una sustancial mejora de las estadísticas económicas de la Nación
104,1982,PSOE,1,107,6 Para facilitar la actividad empresarial el Plan formulará las previsiones y objetivos básicos a desarrollar E
105,1982,PSOE,1,107,llo permitirá la racionalidad y claridad en el tratamiento de la ayuda pública con un delimitado presupuesto de gastos fiscales
106,1982,PSOE,1,100,De este modo la planificación será democrática objeto de un compromiso político; concertada a través de la negociación con las principales fuerzas socioeconómicas; descentralizada integrando las aspiraciones de los pueblos de España y flexible adaptada a una época de incertidumbre generalizada que requiere opciones selectivas 
107,1982,PSOE,1,100,Con esta perspectiva planificar es una práctica que permitirá la profundización democrática y una mayor eficacia del sistema económico español
108,1982,PSOE,1,100,3 LA MODERNIZACIÓN DE LAS ESTRUCTURAS PRODUCTIVAS
109,1982,PSOE,4,400,31 El sector agrario: la agricultura la ganadería y los montes
110,1982,PSOE,4,400,La agricultura y la ganadería españolas están afectadas y condicionadas en estos momentos por los efectos de la crisis energética el bajo crecimiento económico las incertidumbres ante la previsible integración en la Comunidad Europea así como por las pérdidas de rentas sufridas por amplias capas de agricultores y ganaderos cuya situación se ha agravado como consecuencia de la sequía en los dos últimos años
111,1982,PSOE,4,400,La política socialista se basa en la capacidad de la agricultura y la ganadería españolas para mejorar así como en la necesidad de que estos sectores jueguen un importante papel en el relanzamiento del conjunto de la economía y en el objetivo prioritario general de aumentar el número de puestos de trabajo 
112,1982,PSOE,4,400,Nuestro abastecimiento alimentario la potenciación de la industria agroalimentaria y otras actividades relacionadas dependerán de la capacidad de cambio del sector agrario que se impulsará con carácter prioritario
113,1982,PSOE,4,400,Ello exige una política agraria que aborde la reestructuración y modernización de las estructuras agrarias el desarrollo de importantes recursos ociosos y una decidida política de rentas que permita superar la marginación y el paro que afecta a grandes áreas y
114,1982,PSOE,4,400,comarcas Los anteriores objetivos se considerarán desde una perspectiva descentralizada y participativa Se procederá a la revisión del funcionamiento de las Cámaras Agrarias y se establecerán criterios estrictamente democráticos para definir la representatividad de las organizaciones agrarias
115,1982,PSOE,4,401,La política de estructuras agrarias tendrá como objetivo básico el desarrollo y potenciación de unas explotaciones agrarias más productivas y competitivas en las que basar sólidamente la mejora de las rentas de amplios sectores de la población rural y capaces a su vez de satisfacer las necesidades actuales y futuras de productos agrarios demandados por el conjunto de la sociedad
116,1982,PSOE,4,402,Las explotaciones calificadas como familiares pequeñas y medianas constituyen el tejido social y económico del campo su existencia es una garantía contra el aumento del desempleo y por tanto gozarán de acceso prioritario a todas las ayudas públicas contempladas en la legislación agraria
117,1982,PSOE,4,400,Se fomentarán las cooperativas de carácter integral como vía natural de expansión de la agricultura familiar en los sectores de comercialización e industrialización de productos agrarios y se favorecerá su competitividad en el mercado sin renunciar a los principios de solidaridad y democracia interna
118,1982,PSOE,4,400,En cualquier caso las explotaciones agrarias podrán concertar con la Administración programas de modernización y transformación de su empresa ajustándose a los planes prioritarios que se establezcan
119,1982,PSOE,4,1405,"Se crearán ""consorcios para la mejora del uso de la tierra"" para la ordenación del mercado de suelo agrícola y como instrumentos de clarificación e intervención a nivel regional "
120,1982,PSOE,4,1405,Estos consorcios y la aplicación de la legislación vigente en materia de fincas manifiestamente mejorables constituirán los instrumentos para corregir las situaciones de cuasi monopolio tierras ociosas infrautilización de tierras comunales actividades de tipo especulativo etc que provocan los actuales desajustes en el mercado de la tierra 
121,1982,PSOE,4,1405,Las explotaciones familiares las cooperativas los agricultores jóvenes y los asalariados sin tierra serán los beneficiarios directos de cuantas medidas de intervención se produzcan
122,1982,PSOE,4,1405,Se elaborarán programas específicos de desarrollo regional para zonas desfavorecidas con objeto de corregir el abandono en que se encuentran regiones enteras y el escaso aprovechamiento de importantes recursos naturales
123,1982,PSOE,4,400,El fomento ganadero se llevará a cabo a través de un programa que tenga en cuenta la expansión de cultivos forrajeros la mejora y recuperación de recursos pastables un mayor impulso a las razas autóctonas y el saneamiento de la cabaña ganadera
124,1982,PSOE,21,2100,En el sector forestal se fomentará la puesta en valor de las masas forestales en su triple vertiente protectora cultural y productiva de una manera equilibrada 
125,1982,PSOE,7,700,Se desarrollará un Plan de repoblación integrado en los principios de la Ley Básica del Medio Ambiente sobre dos aspectos fundamentales: la lucha contra la erosión y la producción forestal 
126,1982,PSOE,21,2100,Se mejorará la productividad de los montes particulares y en mano común y se articularán con el mercado fomentando la asociación de productores para la ordenación de masas y comercialización
127,1982,PSOE,21,2100,Se ordenará el mercado de la madera con la participación de productores y transformadores 
128,1982,PSOE,21,2100,Se ampliarán los medios de prevención y lucha contra los incendios forestales
129,1982,PSOE,4,1405,En muchas regiones el envejecimiento de la población agraria está frenando los procesos de cambio y modernización dificultando el acceso de los jóvenes a la titularidad de las explotaciones agrarias e inmovilizando importantes superficies de tierra 
130,1982,PSOE,4,1405,Por ello se establecerá un programa de jubilaciones anticipadas y de reagrupamiento de explotaciones inframarginales que facilite el acceso de los jóvenes a la titularidad de las explotaciones agrarias
131,1982,PSOE,4,402,311 Política de rentas agrarias
132,1982,PSOE,4,402,La política de rentas se concebirá como una superación de la política de precios que corrija no sólo los desequilibrios campociudad sino también las desigualdades más acusadas dentro del sector
133,1982,PSOE,4,402,Los precios de garantía son necesarios para asegurar un nivel mínimo de ingresos al agricultor 
134,1982,PSOE,4,402,Pero no sería realista esperar de la política de precios un papel redistribuidor de las rentas; por ello se pondrá especial atención en otras medidas complementarias que permitan una mayor selectividad en las ayudas según tipos de explotación L
135,1982,PSOE,4,402,Los precios y calidad de los medios de producción serán igualmente objeto de negociación y vigilancia
136,1982,PSOE,4,402,Como garantía del nivel de rentas se potenciará un programa general de seguros agrarios que impida situaciones de ruina generalizada por motivos climatológicos
137,1982,PSOE,4,499,La población agraria gozará de un sistema de prestaciones sociales que le ofrezca igual nivel de cobertura que otros sectores lo que exige la reordenación de la Seguridad Social Agraria adaptándola a las peculiaridades del campo
138,1982,PSOE,4,400,Los programas de mejora de las estructuras productivas agrarias la necesidad de capitales para el campo así como los nuevos programas de apoyo a la agricultura precisan de un nuevo sistema de crédito para la agricultura y la ganadería que supere las actuales discriminaciones falta de publicidad en las concesiones desviación de fondos hacia otros sectores y retrasos injustificables
139,1982,PSOE,4,400,La política crediticia pública será centralizada por el Banco de Crédito Agrícola que actuará de acuerdo con los criterios de la política agraria del Gobierno regionalizará sus acciones y democratizará sus órganos de gobierno 
140,1982,PSOE,4,400,El Banco atenderá de forma especial y con los beneficios previstos en tipos de interés y subvenciones las solicitudes que respondan a los diferentes programas de apoyo ya enumerados
141,1982,PSOE,4,400,Las Cajas Rurales como entidades de crédito cooperativo serán igualmente un instrumento básico de la política crediticia para el campo lo que exige su democratización
142,1982,PSOE,4,499,La mejora de las estructuras comerciales y el acortamiento de la cadena de intermediarios pasan en primer lugar por mejorar la comercialización de los productos agrarios en origen para lo cual se reestructurará MERCORSA modificando y ampliando sus cometidos
143,1982,PSOE,4,499,El comercio en destino se ordenará potenciando la empresa pública MERCASA propiciando una mayor colaboración entre Ayuntamientos organizaciones agrarias minoristas y consumidores
144,1982,PSOE,4,499,Como estructuras intermedias se potenciarán las cooperativas de comercialización propiciando la integración voluntaria y activa del mayor número de agricultores y ganaderos en las mismas así como la asunción por las mismas de aquellos procesos industriales que constituyan la base de la ampliación y difusión de una industria agroalimentaria en el medio rural
145,1982,PSOE,4,499,Se desarrollará de forma gradual un modelo de consumo que limite las dependencias internacionales y adapte las producciones agrícolas propias con las necesidades y nuevos hábitos de los consumidores coordinando el desarrollo de la industria alimentaria con las necesidades de los mismos y las de la producción y reforma de la agricultura
146,1982,PSOE,4,498,La investigación y experimentación agraria se potenciará de acuerdo con las necesidades prioritarias del país y las diversas realidades agropecuarias
147,1982,PSOE,4,498, Se apoyarán especialmente los programas que se propongan reducir nuestra dependencia exterior el mayor aprovechamiento de los recursos infrautilizados y solucionar las nuevas situaciones planteadas a la empresa agraria como consecuencia del encarecimiento de los medios de producción
148,1982,PSOE,4,400,A través de los servicios de extensión y capacitación agraria se impulsará la asistencia técnica y la cualificación profesional dirigida hacia todos los colectivos agrarios a la vez que se incrementarán sus actuaciones en el campo del cooperativismo y el desarrollo rural todo ello en colaboración con las organizaciones de agricultores
149,1982,PSOE,4,499,En materia de asistencia al desempleo agrario el grado de protección tenderá a equipararse al régimen general en materia de prestaciones y asistencia terminando con la discriminación que sufren los asalariados agrícolas y modificando el actual sistema de empleo comunitario
150,1982,PSOE,4,408,32 La pesca La pesca se configura como un importante sector de futuro representando un valor estratégico alimentario fundamental 
151,1982,PSOE,4,408,Para recuperar y potenciar el sector se procederá a una urgente ordenación de las aguas propias 
152,1982,PSOE,4,408,Para ello es necesaria una regulación concertada de las pesquerías y la reestructuración de la flota pesquera así como de los cultivos marinos y del marisqueo abordando decididamente la repoblación de las zonas litorales y costeras 
153,1982,PSOE,7,701,La lucha contra la contaminación de las aguas y la reserva de espacios para cultivos marinos constituyen dos pilares básicos en la ordenación y aprovechamiento de las aguas propias
154,1982,PSOE,4,408,En cuanto a las aguas internacionales se establecerán criterios de negociación política que aseguren y estabilicen nuestra presencia en los caladeros internacionales
155,1982,PSOE,4,408,Una reforma de las estructuras comerciales deberá acercar al sector extractivo al consumo final eliminando costes de intermediación excesivos para lo cual se potenciará el cooperativismo de comercialización en sus diferentes formas
156,1982,PSOE,4,408,Se asegurará la protección a la primera venta estableciendo precios de garantía siendo las diferencias de precios subvencionadas por el FROM
157,1982,PSOE,4,408,Los poderes públicos especialmente a través del FROM contribuirán a crear un nuevo hábito alimentario para aquellas especies hoy poco consumidas a pesar de su valor proteico y abundancia en nuestras aguas 
158,1982,PSOE,4,408,Igualmente se fomentará la industria de precocinados españoles
159,1982,PSOE,4,408,La política social en el sector pesquero se apoyará en una clarificación de la prestación laboral contratada en la democratización de las cofradías de pescadores y en la potenciación de los sindicatos de pesca
160,1982,PSOE,4,408,Las líneas de actuación más urgentes se centrarán en la formación de nuevas profesiones de la actividad pesquera la asistencia social a las familias de los pescadores y a los tripulantes en puertos extranjeros
161,1982,PSOE,4,408,La Seguridad Social prestará especial atención a las peculiaridades sanitarias de la vida del pescador extendiéndose el seguro de desempleo a la totalidad del colectivo de pescadores
162,1982,PSOE,1,108,33 Política industrial La agudización de la crisis económica y la pasividad e improvisación de las políticas industriales pasadas han determinado la existencia de un sector industrial en España en fase de desarrollo intermedio muy dependiente del exterior sometido a un intervencionismo poco transparente y con escaso nivel de concurrencia en el mercado interior lo que le hace poco competitivo y extremadamente frágil y vulnerable ante los retos a que habrá de hacer frente
163,1982,PSOE,1,108,La política industrial contemplará un ajuste positivo e integral que supere las actuaciones parceladas defensivas y coyunturales de modo que la asignación de recursos para la reindustrialización se realice integrando las tareas de reestructuración reconversión y creación de nuevas actividades industriales 
164,1982,PSOE,1,108,Ello exigirá consolidar la parte del actual patrimonio industrial que tenga posibilidades de subsistir favorecer el crecimiento competitivo del mismo y buscar y potenciar actividades de recambio de acuerdo con las nuevas demandas sociales
165,1982,PSOE,1,108,Las posibilidades de alcanzar un ritmo de crecimiento adecuado dependerán fundamentalmente de la capacidad de asignar recursos financieros al sector industrial 
166,1982,PSOE,1,108,Lograr el volumen de inversiones necesario constituirá un objetivo prioritario y preocupación permanente de los socialistas en el campo de la política industrial
167,1982,PSOE,1,108,Los criterios de actuación que servirán a la política de industrialización de nuestro país son los siguientes:
