"doc_id","text","before","after","number","document_type","elec_period","date","title","pattern","id"
"text2.2","Problem Die Änderung des Altersaufbaus unserer Bevölkerung und die sich daraus ergebenden tiefgreifenden Auswirkungen stellen die Rentenversicherung mittelund langfristig vor erhebliche Finanzierungsprobleme.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",18
"text2.3","Wichtige Strukturelemente der Rentenversicherung bedürfen zur besseren Bewältigung der gestellten Anforderungen der Weiterentwicklung und Ergänzung.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",19
"text2.4","Das Rentenrecht ist im Laufe der Jahre durch eine Vielzahl von Änderungen und Ergänzungen unübersichtlich geworden.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",20
"text2.6","Lösung I.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",22
"text2.7","Reformgrundsätze 1.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",23
"text2.8","Durchführung der Reform im bestehenden System der gesetzlichen Rentenversicherung.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",24
"text2.10","Bewältigung der Auswirkungen aus dem sich ändernden Altersaufbau unserer Bevölkerung durch gemeinsame Lastentragung von Rentnern, Beitragszahlern und Bund.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",26
"text2.12","Anpassung und Weiterentwicklung der Mechanismen zur Stabilisierung der Finanzlage der Rentenversicherung.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",28
"text2.14","Weiterentwicklung und Ergänzung wichtiger Strukturelemente der Rentenversicherung.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",30
"text2.16","Selbstregulierungsmechanismus von Bundeszuschuß, Beitragssatz und Rentenanpassung 1.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",32
"text2.17","Jährliche Fortschreibung des Bundeszuschusses entsprechend dem Anstieg der Bruttoverdienste und einem Anstieg des Rentenversicherungsbeitragssatzes.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",33
"text2.18","Zusätzliche Voraberhöhung um 0,3 Mrd.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",34
"text2.19","DM in 1990 und um 2,3 Mrd.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",35
"text2.20","DM in 1991 sowie um den Erstattungsbetrag für Kindererziehungsleistungen in 1991 von etwa 4,8 Mrd.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",36
"text2.23","Jährliche Festsetzung des Beitragssatzes durch Rechtsverordnung zur Deckung der Ausgaben und Aufrechterhaltung einer ausreichenden Schwankungsreserve.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",39
"text2.24","Beibehaltung des Beitragssatzes in der Rentenversicherung der Arbeiter und Angestellten von 18,7 % , bis höherer Beitragssatz erforderlich wird.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",40
"text2.26","Jährliche Anpassung der Renten zum 1.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",42
"text2.27","Juli durch Rechtsverordnung entsprechend dem Anstieg der Bruttoverdienste unter Berücksichtigung der Belastungsveränderungen durch Steuern und Sozialbeiträge und Stabilisierung des Nettorentenniveaus.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",43
"text2.29","Neuordnung der beitragsfreien Zeiten 1.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",45
"text2.30","Erhöhung der Beitragsbemessungsgrundlage für Bezieher von Lohnersatzleistungen von der (Netto-) Lohnersatzleistung auf 80 % des dafür maßgebenden Bruttoarbeitsentgelts ab 1995 und Behandlung dieser Zeiten als Beitragszeiten mit entsprechender Bewertung.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",46
"text2.32","Einführung einer individuellen Gesamtleistungsbewertung für die Bewertung beitragsfreier Zeiten unter Wegfall der Anrechnungsvoraussetzung der Halbbelegung.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",48
"text2.34","Begrenzung des Gesamtleistungswerts für Zeiten der Arbeitslosigkeit und Krankheit auf 80 % und für Ausbildungszeiten auf 75 % dieses Wertes; zusätzliche Begrenzung des Wertes für Ausbildungszeiten auf 75 % des Durchschnittsentgelts.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",50
"text2.36","Zeitliche Begrenzung der Anrechenbarkeit von beitragsfreien Ausbildungszeiten auf sieben Jahre; Möglichkeit der Nachzahlung freiwilliger Beiträge für nicht anrechenbare Ausbildungszeiten.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",52
"text2.38","Ausbau familienbezogener Elemente 1.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",54
"text2.39","Verlängerung der Kindererziehungszeit von einem Jahr auf drei Jahre für Geburten ab 1992.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",55
"text2.41","Einführung von Berücksichtigungszeiten wegen Kindererziehung und Pflege mit Auswirkungen auf die 35jährige Wartezeit, die Aufrechterhaltung des Invaliditätsschutzes und die Gesamtleistungsbewertung von beitragsfreien Zeiten.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",57
"text2.43","Verbesserung der Versicherungsbedingungen für nicht erwerbsmäßig tätige Pflegepersonen.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",59
"text2.45","Für alle Frauen bis 1995 befristete Nachzahlungsmöglichkeit für Zeiten, für die wegen Heirat Beiträge erstattet worden sind.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",61
"text2.47","Mindestbewertung bestimmter Pflichtbeitragszeiten 1.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",63
"text2.48","Anhebung des Wertes der ersten vier Versicherungsjahre mit niedrigen Pflichtbeiträgen vor Vollendung des 25.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",64
"text2.49","Lebensjahres und von weiteren niedrigen Pflichtbeiträgen während einer Berufsausbildung auf 90 % des Durchschnittsentgelts.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",65
"text2.51","Anhebung des Durchschnittswerts niedriger Pflichtbeiträge bei der Berechnung der Rente nach Mindesteinkommen für Zeiten vor 1992 auf das 1,5fache dieses Wertes, höchstens auf 75 % des Durchschnittsentgelts, wenn die 35jährige Wartezeit (unter Einschluß von Kinderberücksichtigungszeiten) erfüllt ist.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",67
"text2.53","Erhöhung der Beitragsbemessungsgrundlage für Behinderte in Werkstätten von 70 % des Durchschnittsentgelts im vorvergangenen Kalenderjahr auf 80 % der Bezugsgröße.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",69
"text2.55","Erhöhung der Beitragsbemessungsgrundlage für Wehrund Zivildienstleistende von 70 % des Durchschnittsentgelts auf 80 % der Bezugsgröße.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",71
"text2.57","Flexibilisierung und Verlängerung der Lebensarbeitszeit 1.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",73
"text2.58","Möglichkeit der Inanspruchnahme von Altersrenten als Teilrenten mit entsprechend höheren Hinzuverdienstgrenzen als bei den vollen Altersrenten.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",74
"text2.59","Möglichkeit der vorzeitigen Inanspruchnahme von Altersrenten ab Beginn der Anhebung der Altersgrenzen sowie Möglichkeit des Hinausschiebens der Inanspruchnahme ; Ausgleich der unterschiedlichen Bezugsdauern durch einen Zugangsfaktor.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",75
"text2.60","Arbeitsrechtliche Flankierung der Flexibilisierung.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",76
"text2.62","Schrittweise Anhebung der Altersgrenzen von 60 Jahren und 63 Jahren auf die Regelaltersgrenze von 65 Jahren ab dem Jahre 2001; jährliche Anhebung bis zum Jahre 2004 in 3-Monats-Schritten, anschließend in 6-Monats-Schritten.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",78
"text2.63","Keine Anhebung der Altersgrenze von 60 Jahren für Berufsund Erwerbsunfähige sowie Schwerbehinderte.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",79
"text2.65","Vertrauensschutz 1.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",81
"text2.66","Keine Änderung der zum 1.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",82
"text2.67","Januar 1992 laufenden Renten mit Ausnahme von Verbesserungen durch die Anhebung niedriger Pflichtbeiträge zwischen 1973 und 1991.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",83
"text2.69","Besondere Übergangsregelungen bei Einführung der Rechtsänderungen für ab 1992 neu zugehende Renten.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",85
"text2.71","Einordnung ins Sozialgesetzbuch Neusystematisierung und Vereinfachung sowie Einordnung des Rentenrechts in das Sozialgesetzbuch.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",87
"text2.73","Alternative Systemwechsel mit anderer Finanzierung und niedrigeren Leistungen und mit langen Übergangszeiten.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",89
"text2.75","Finanzielle Auswirkungen 1.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",91
"text2.76","Der Bundeszuschuß wird im Jahre 2000 um rd.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",92
"text2.77","7 Mrd.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",93
"text2.78","DM und im Jahre 2010 um rd.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",94
"text2.79","14 Mrd.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",95
"text2.80","DM höher als nach geltendem Recht sein, jeweils unter Einbeziehung der Leistungen für Kindererziehung.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",96
"text2.81","Sein Anteil an den Rentenausgaben wird bis zum Jahre 2010 auf etwa 191/2 % stabilisiert, statt — wie nach geltendem Recht — auf rd. 16 % im Jahre 2000 und auf etwa 141/2 % im Jahre 2010 abzusinken.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",97
"text2.83","Der Beitragssatz wird durch die Reformmaßnahmen im Jahre 2000 20,3 % statt 22 % und im Jahre 2010 21,4 % statt 24,5 betragen.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",99
"text2.85","Einzelheiten sind aus der Übersicht in Teil C der Begründung ersichtlich.","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",101
"text2.86","An den Präsidenten des Deutschen Bundestages Hiermit übersende ich den von der Bundesregierung beschlossenen","text4","1","11/4452","Gesetzentwurf","11",1989-04-28,NA,"Entwurf eines Gesetz",102
"text3.2","Zielsetzung 1.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",104
"text3.3","Die Wehrübenden aus der privaten Wirtschaft sollen einkommensmäßig den Wehrübenden aus dem öffentlichen Dienst gleichgestellt werden.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",105
"text3.5","Die Ansprüche von Wehrpflichtigen auf Leistungen für eine zusätzliche Altersund Hinterbliebenenversorgung sollen entsprechend der allgemeinen Zielsetzung des Arbeitsplatzschutzgesetzes bemessen werden.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",107
"text3.7","Lösung 1.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",109
"text3.8","Die Wehrübenden aus der privaten Wirtschaft erhalten künftig nach dem Unterhaltssicherungsgesetz eine volle Entschädigung des ihnen infolge der Einberufung entfallenden Nettoeinkommens.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",110
"text3.9","Die Höchstgrenze der Verdienstausfallentschädigung wird deutlich angehoben.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",111
"text3.11","Beiträge zu einer zusätzlichen Altersund Hinterbliebenenversorgung erhalten künftig nur noch die Grundwehrdienstleistenden (und Zivildienstleistenden), die ihre Beitragsverpflichtungen aus eigenem Einkommen bestreiten könnten, wenn sie nicht einberufen worden wären.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",113
"text3.13","Alternativen keine D.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",115
"text3.14","Kosten 1.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",116
"text3.15","Ausgaben durch Änderungen des Unterhaltssicherungsgesetzes: Einzelplan 14: 26,5 Mio.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",117
"text3.17","Diese Mehrkosten werden zum Teil durch Mehreinnahmen bei der Einkommensteuer gedeckt werden.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",119
"text3.19","Einsparungen durch Änderung des Arbeitsplatzschutzgesetzes: —Einzelplan 14: 12 Mio.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",121
"text3.20","DM, —Einzelplan 15: 2 Mio.","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",122
"text3.22","An den Präsidenten des Deutschen Bundestages Hiermit übersende ich den von der Bundesregierung beschlossenen","text5","1","11/5058","Gesetzentwurf","11",1989-08-10,NA,"Entwurf eines Gesetz",124
"text4.2","Zielsetzung Die seit 1987 stark angestiegene Aufnahme von Aussiedlern und Übersiedlern hat deutlich werden lassen, daß das bisherige Instrumentarium für deren Eingliederung in der Praxis Probleme aufwirft, die in der Vergangenheit angesichts erheblich geringerer Zugangszahlen nicht aufgetreten sind.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",126
"text4.3","Insbesondere bedarf es einer spezifischen Regelung der Arbeitsförderung, die die besondere Lage der Aussiedler und Übersiedler in der ersten Zeit nach ihrem Eintreffen berücksichtigt und ihre Eingliederung in das Arbeitsleben beschleunigt, sowie einer Anpassung bei anderen Leistungsgesetzen.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",127
"text4.5","Lösung Eine Reihe von Gesetzen ist den veränderten Verhältnissen anzupassen.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",129
"text4.6","Die wesentlichen Änderungen sind: a) Das Ziel einer dauerhaften Sicherung der Maßnahmen zur Eingliederung der Aussiedler und Übersiedler in den Arbeitsmarkt unter Berücksichtigung der gegebenen finanziellen Möglichkeiten bei insgesamt steigendem Aufwand soll durch folgende Maßnahmen erreicht werden: —Aussiedler und Übersiedler, die im Herkunftsland mindestens fünf Monate als Arbeitnehmer beschäftigt waren und beabsichtigen, in der Bundesrepublik Deutschland eine beitragspflichtige Beschäftigung aufzunehmen, erhalten bei Arbeitslosigkeit für die Dauer von zwölf Monaten ein Eingliederungsgeld. —Zur Erleichterung der Eingliederung wird in den ersten zwei Monaten nach der Einreise das Eingliederungsgeld auch dann gezahlt, wenn der Aussiedler oder Übersiedler vorrangig durch organisatorische Probleme — wie Wohnungssuche, Beschaffung von Einrichtungsgegenständen, Behördengänge — in Anspruch genommen wird. —Während der Teilnahme an einem erforderlichen DeutschSprachlehrgang und einer notwendigen Maßnahme der beruflichen Bildung wird das Eingliederungsgeld weitergezahlt.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",130
"text4.7","Die Zeiten der Teilnahme an diesen Maßnahmen mindern nicht die Dauer des Anspruchs auf Eingliederungsgeld von zwölf Monaten. —Das Eingliederungsgeld bemißt sich nach einem Arbeitsentgelt in Höhe von 70 v.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",131
"text4.8","H. der Bezugsgröße in der Sozialversicherung.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",132
"text4.9","Es beträgt 63 v.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",133
"text4.10","H. dieses um die gesetzlichen Abzüge verminderten Arbeitsentgelts.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",134
"text4.11","Ist nur ein Ehegatte anspruchsberechtigt und hat der andere keine Einkünfte aus einer Erwerbstätigkeit oder ist der Arbeitslose Alleinerziehender, so erhöht sich das Eingliederungsgeld um 130 DM im Monat (30 DM in der Woche). —Aussiedler, die im Herkunftsland nur zehn Wochen erwerbstätig waren und beabsichtigen, in der Bundesrepublik Deutschland eine Erwerbstätigkeit aufzunehmen, sowie gleichgestellte Personen erhalten Eingliederungsgeld während der Teilnahme an einem erforderlichen DeutschSprachlehrgang. —Die durch die Teilnahme an einem Deutsch-Sprachlehrgang und einer Maßnahme der beruflichen Bildung entstehenden notwendigen Kosten werden erstattet. —Nach Ausschöpfung des Anspruchs auf Eingliederungsgeld erhalten Aussiedler und Übersiedler bei Arbeitslosigkeit die nach den jeweiligen individuellen Verhältnissen bemessene Arbeitslosenhilfe. b) Der Rechtsanspruch auf Familienzusammenführung nach dem Bundesvertriebenengesetz wird neu geregelt; der Nachzug von Familienangehörigen des nichtdeutschen Ehegatten eines deutschen Vertriebenen (Aussiedlers) unterliegt künftig ausschließlich den allgemeinen ausländerrechtlichen Regelungen. c) Im Recht des Lastenausgleichs wird für die Hausratentschädigung und die ihr entsprechenden Leistungen ein einheitlicher Pauschbetrag festgesetzt, zu dem Familienzuschläge hinzutreten.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",135
"text4.12","Die für Übersiedler bisher bestehenden Einkommensgrenzen entfallen. d) Die Vererbbarkeit von Ansprüchen nach dem Kriegsgefangenenentschädigungsgesetz und nach dem Häftlingshilfegesetz wird eingeschränkt. e) Weitere Anpassungen betreffen das Zweite Wohnungsbaugesetz, das Wohnungsbaugesetz für das Saarland, das Wohngeldgesetz und das Einkommensteuergesetz.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",136
"text4.14","Alternativen keine D.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",138
"text4.15","Kosten Der Umfang der finanziellen Auswirkungen des Gesetzentwurfs ist wesentlich davon abhängig, wie sich der Zugang von Aussiedlern und Übersiedlern in den nächsten Jahren entwickelt.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",139
"text4.16","Für die nachstehenden Berechnungen wird davon ausgegangen, daß jährlich rd.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",140
"text4.17","300 000 Aussiedler und rd.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",141
"text4.18","60 000 Übersiedler eintreffen werden.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",142
"text4.19","Allerdings zeichnet es sich bereits jetzt ab, daß die Zahl von 300 000 Aussiedlern im Jahre 1989 erheblich überschritten werden wird.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",143
"text4.20","Durch die Änderungen des Arbeitsförderungsgesetzes entstehen bei der Bundesanstalt für Arbeit Minderausgaben in Höhe von insgesamt 430 Mio.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",144
"text4.21","DM pro Jahr.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",145
"text4.22","Wegen der vorgesehenen Übergangsregelungen werden sich diese Einsparungen im Jahr 1990 noch nicht voll auswirken.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",146
"text4.23","In den Folgejahren wird der genannte Betrag entsprechend der Lohnsteigerungsrate anwachsen.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",147
"text4.24","Der Bund wird bei den Ausgaben für die Arbeitslosenhilfe tendenziell mehr belastet durch die Fälle, in denen ein älterer Aussiedler oder Übersiedler, der nicht an Maßnahmen der beruflichen Bildung oder Sprachförderung teilnimmt, nunmehr nach Ausschöpfung seines Anspruchs auf Eingliederungsgeld bereits nach einem Jahr Arbeitslosenhilfe bezieht.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",148
"text4.25","Die Höhe der Mehrbelastung läßt sich nicht beziffern.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",149
"text4.26","Die Änderungen im Lastenausgleichsgesetz und im Flüchtlingshilfegesetz werden zu Mehrkosten von insgesamt etwa 25 Mio.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",150
"text4.27","DM jährlich führen.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",151
"text4.28","Die Mehrkosten nach dem Lastenausgleichsgesetz werden sich auf 9 Mio.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",152
"text4.29","DM jährlich belaufen.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",153
"text4.30","Die Mehrkosten nach dem Flüchtlingshilfegesetz werden rd.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",154
"text4.31","16 Mio.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",155
"text4.32","DM betragen, von denen die Länder dem Bund 20 v.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",156
"text4.33","H. erstatten.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",157
"text4.34","Die vorgesehene Streichung des Freibetrages für Aussiedler und Übersiedler im Wohngeldgesetz führt bei Bund und Ländern zu Minderausgaben von zusammen 38 Mio.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",158
"text4.35","DM im Jahr 1990, 74 Mio.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",159
"text4.36","DM im Jahr 1991, 100 Mio.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",160
"text4.37","DM im Jahr 1992 sowie 116 Mio.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",161
"text4.38","DM im Jahr 1993.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",162
"text4.39","Die Änderungen des Einkommensteuergesetzes führen zu geringfügigen Steuermehreinnahmen.","text6","1","11/5110","Gesetzentwurf","11",1989-08-31,NA,"Entwurf eines Gesetz",163
