,text,election,code,pos,party_code,country_code,party,country,name,name_english,code_extract,sentiment,country_party_election_sentiment,country_party_election_code,party_agg
12,Umweltschutz steht heute nicht im Mittelpunkt des öffentlichen Interesses,1998,501,161,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
13,Längst sicher geglaubte Errungenschaften der Umweltbewegung werden wieder in Frage gestellt,1998,501,162,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
14,Die Lebensqualität droht im härter gewordenen globalen Verteilungskampf um materiellen Wohlstand auf der Strecke zu bleiben,1998,416,163,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
15,BÜNDNIS 90/DIE GRÜNEN meinen: Der Schutz der Umwelt muß auch in wirtschaftlich schwierigen Zeiten Priorität haben,1998,501,164,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
16,"In der Regierung Kohl herrscht umweltpolitischer Stillstand: Die Bundesregierung definiert Umweltschutz als ein Luxusgut, auf das sich in Zeiten leerer Kassen zunehmend verzichten läßt",1998,501,165,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
17,"Als hätte es nie internationale Klimagipfel gegeben, expandiert der Verkehrskollaps, exportiert die deutsche Wirtschaft globale Umweltprobleme zur eigenen Gewinnmaximierung, ist die Regierung Kohl von der vollmundig versprochenen Reduktion des Co2-Ausstosses um 25 Prozent so weit entfernt wie von der Halbierung der Arbeitslosenzahlen",1998,501,166,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
18,BÜNDNIS 90/DIE GRÜNEN setzen dem ein gerechtes Reformkonzept der Nachhaltigkeit entgegen,1998,416,167,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
19,Wirtschaftliche Entwicklung und Bewahrung der Natur sind nur gemeinsam zu bewältigen,1998,416,169,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
20,Das ist der Grundgedanke einer nachhaltigen Wirtschaftsweise,1998,416,170,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
21,"Nachhaltige Entwicklung bedingt nicht nur einen Wechsel des Wirtschaftskurses, sondern tiefgreifende politische und gesellschaftliche Veränderungen",1998,416,171,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
22,"Deutschland steckt in einer ökonomischen, ökologischen und sozialen Krise",1998,416,172,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
23,"Umweltschutz gibt es nicht zum Nulltarif – aber durch intelligente, zukunftsfähige Anreiz- und Lenkungsinstrumente",1998,501,173,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
24,"Mit einer Ökologisch-sozialen Steuerreform werden die Weichen in Richtung einer nachhaltigen, zukunftsfähigen Entwicklung gestellt: der Ressourcenverbrauch wird drastisch reduziert",1998,416,174,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
25,"Eine Ökologisch-soziale Steuerreform verringert nicht nur den Umweltverbrauch,",1998,501,175,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
26,Unser Gesamtkonzept einer Ökologisch-sozialen Steuerreform besteht aus drei Einnahme- und Verwendungs-Säulen,1998,416,177,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
27,? Abbau ökologisch schädlicher Subventionen,1998,416,180,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
28,Die Ökologisch-soziale Steuerreform kehrt die heutigen Fehlentwicklungen um:,1998,416,185,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
29,"Durch die Energiesteuer verteuert sich der Energieverbrauch, höhere Preise bilden Anreize zum Energiesparen",1998,416,189,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
30,Schadstoff-Emissionen werden so spürbar gesenkt,1998,501,190,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
31,Die Umweltprobleme werden nicht nur durch eine ökologische Innovationsoffensive allein zu lösen sein,1998,501,200,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
32,Auch das Verhalten der Menschen muß sich ändern: Verzicht kann einen Gewinn an Lebensqualität bedeuten,1998,416,201,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
33,"Damit sich umweltverträgliches Verhalten für alle lohnt und ökologisch innovative Produkte einen Absatzmarkt finden, muß der Staat die Rahmenbedingungen ändern",1998,416,202,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
34,"Er soll alle gesellschaftlichen Gruppen an einen Tisch bringen, um Ziele und Maßnahmen auf dem Weg zur nachhaltigen Gesellschaft zu erarbeiten",1998,416,206,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
35,Ökologiepolitik erschöpft sich nicht im Umweltschutz,1998,416,208,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
36,Sie ist die entscheidende zukunftssichernde Querschnittsaufgabe der Gesellschaft,1998,416,209,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
37,"Bündnis 90/Die Grünen fordern eine ökologische Finanz-, Wirtschafts-, Verkehrs- und Forschungspolitik, damit volkswirtschaftliche Interessen wie der Umweltschutz zu betriebswirtschaftlichen Interessen werden",1998,416,210,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
38,Dies eröffnet auch Chancen für eine ”Ökologische Technologiereform” für Ostdeutschland:,1998,416,211,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
39,"Notwendig ist dabei ein zukunftsfähiger wirtschaftspolitischer Rahmen, der die ökologische Sanierung und ökologische Modernisierung mit sozialen Aspekten, vor allem der Schaffung zukunftsgerichteter und dauerhafter Arbeitsplätze, verbindet",1998,416,212,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
40,"Ostdeutschland hat so die Chance, eine EU-weit führende Region für nachhaltiges Wirtschaften und Umweltsanierung sowie -dienstleistung zu werden",1998,416,213,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
41,"Durch den Aufbau einer weltweit führenden Umweltbranche in den neuen Ländern besteht die Möglichkeit, durch nachweisbare Kompetenz Wettbewerbsvorsprünge auf internationalen Märkten zu gewinnen",1998,416,214,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
42,"Darüber hinaus gehören zur nachhaltigen Entwicklung weitere Arbeitszeitverkürzungen, um Arbeitsplätze zu sichern und neue zu schaffen",1998,416,218,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
43,"Für uns hat der Umweltverbund Vorrang: Bahn, Bus, CarSharing, Fahrrad fahren und zu Fuß gehen",1998,501,222,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
44,Sie muß zugleich den Energie- und Flächenverbrauch sowie den Schadstoff- und Lärmausstoß verringern,1998,501,224,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
45,Verkehrsvermeidung steht an erster Stelle,1998,416,227,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
46,"Um den Verkehr zu begrenzen und Umweltbelastungen zu verringern, wollen wir, daß die Preise der ökologischen Wahrheit entsprechen",1998,416,231,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
47,"Deshalb muß insbesondere der Straßenverkehr sämtliche Folgekosten, z|B| für Infrastruktur, Umwelt- und Gebäudeschäden, selbst tragen",1998,416,232,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
48,"Um der Kostenwahrheit der Transportpreise langfristig näherzukommen, brauchen wir eine umweltorientierte Steuerpolitik im Verkehrsbereich",1998,416,233,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
49,"Um die Verkehrswende einzuleiten, ist eine Erhöhung der Mineralölsteuer als Teil einer auf 10 Jahre angelegten Ökologisch-sozialen Steuerreform ein sozialverträgliches Mittel",1998,416,235,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
50,Nach unserem Konzept würde 1 Liter Benzin nach 10 Jahren rund 5 DM kosten,1998,416,237,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
51,BÜNDNIS 90/ DIE GRÜNEN wollen eine integrierte – ökologische und wirtschaftliche – Verkehrsplanung,1998,416,246,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
52,Der Straßengüterverkehr deckt nicht die von ihm verursachten Wegekosten,1998,416,272,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
53,"Hochgeschwindigkeitsstrecken machen im Rahmen eines solchen Konzeptes Sinn, wenn sie umweltverträglich und wirtschaftlich geplant sind",1998,416,280,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
54,Den weiteren Flußausbau lehnen wir ab,1998,501,288,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
55,Immerhin hängen in Deutschland zwei Millionen Arbeitsplätze und 200 Milliarden Mark Umsatz vom Tourismus ab,1998,410,291,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,410,right,Germany_Bündnis‘90/Die Grünen_1998_right,Germany_Bündnis‘90/Die Grünen_1998_410,Die Grünen
56,"Doch die Regierung hat es versäumt, die Weichen in die richtige Richtung zu stellen: Die Steuerbefreiung für Kerosin hat in den letzten 10 Jahren zu einer Verdoppelung der klimaschädlichen Flugreisen geführt",1998,416,292,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
57,Wir wollen dem umweltschädlichen Trend im Flugtourismus entgegenwirken und den Tourismus insgesamt umwelt- und sozialverträglicher gestalten,1998,416,295,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
58,"Neben der Verkehrswende für den Urlaub mit Bahn, Bus, Fahrrad, Schiff und zu Fuß muß dafür die Zusammenarbeit der Akteure in den Regionen gestärkt werden",1998,416,296,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
59,Der Tourismus in Deutschland braucht neue - grüne - Ideen!,1998,416,297,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
60,Mit der dringend notwendigen Reform der dem Tourismus zufließenden Fördermittel sollen die bestehenden Gästebetten gefüllt anstatt neue Investitionsruinen gefördert werden,1998,416,298,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
61,Auf internationaler Ebene setzen wir uns für einen verträglicheren Tourismus in den Zielgebieten am Mittelmeer und in Entwicklungsländern ein,1998,416,302,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
62,"Der Küstenverbauung, Zerstörung von Naturschutzgebieten und Ressourcenverschwendung durch den Massentourismus muß durch verbindliche internationale Abkommen ein Riegel vorgeschoben werden",1998,501,303,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
63,"Mit einer Infokampagne gemäß dem grünen Motto ”seltener verreisen, länger bleiben, intensiver erleben” sollen Anstöße für ein zukunftsverträgliches Reiseverhalten gegeben werden",1998,416,307,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
64,"Kohl hat versprochen, bis zum Jahr 2005 die C02-Emissionen um 25% zu senken",1998,416,312,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
65,Doch dieses Versprechen läßt sich nur mit grüner Politik halten,1998,416,313,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
66,Wir setzen auf sparsamen und rationellen Umgang mit Energie und auf regenerative Energiequellen,1998,416,316,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
67,Die grüne Energiewende schützt das Klima,1998,501,317,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
68,"Damit die Energiewende auch und gerade in den ärmeren Ländern der Erde stattfinden kann, wollen wir einen internationalen Klimaschutzfonds einrichten, aus dem Energieeinsparmaßnahmen und regenerative Energiequellen finanziert werden können",1998,416,320,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
69,"Ein verantwortliches, die Sicherheitsinteressen vieler Generationen berücksichtigendes Endlagerkonzept ist erst möglich, wenn der endgültige Ausstieg beschlossen ist und die anfallenden Atommüllmengen feststehen",1998,416,332,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
70,Wesentliche Voraussetzung für Erfolge im Klimaschutz ist auch die Beendigung der Energieverschwendung in Deutschland,1998,416,335,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
71,Denn nur kostengerechte Preise geben Anreize für einen sparsamen und rationellen Umgang mit Energie,1998,416,338,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
72,Neuaufschluß und Erweiterung naturzerstörender Braunkohletagebaue lehnen wir ab,1998,501,347,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
73,Nur eine ökologische Modernisierung kann diesen Trend stoppen,1998,416,360,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
74,Artgerechte und bodengebundene Tierhaltung ist aus ökologischen und ethischen Gründen untrennbarer Bestandteil einer umweltfreundlichen Landwirtschaft,1998,501,368,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
75,Die Preise für Agrarprodukte müssen ökonomisch und ökologisch die Wahrheit sagen,1998,416,378,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
76,"Fördermittelzahlungen an die Landwirtschaft sind an klare ökologische, beschäftigungswirksame und regionalwirtschaftliche Bedingungen zu knüpfen",1998,416,381,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
77,und ökologischen Reformen einsetzen,1998,501,385,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
78,Bündnis 90/Die Grünen lehnen die Gentechnologie in der Landwirtschaft und bei der Lebensmittelproduktion ab,1998,416,387,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
79,"Freisetzungen gentechnisch manipulierter Pflanzen, Tiere und Mikroorganismen sind unverantwortlich und in ihren Folgen nicht beherrschbar",1998,501,399,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
80,Gentechnologie ist eine genetische Umweltverschmutzung,1998,501,400,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
81,Sie ist in ihren Folgen unbeherrschbar und daher nicht zu verantworten,1998,501,401,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,501,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_501,Die Grünen
82,Die oberste Prämisse unserer Abfallpolitik ist die Vermeidung von Abfällen,1998,416,403,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,416,left,Germany_Bündnis‘90/Die Grünen_1998_left,Germany_Bündnis‘90/Die Grünen_1998_416,Die Grünen
