,text,election,code,pos,party_code,country_code,party,country,name,name_english,code_extract,sentiment,country_party_election_sentiment,party_agg
10,Die Einführung von Übergangsarbeitsmärkten sowie rechtlich und sozial abgesicherten Rotationsregeln kann Wege aus dauerhafter Erwerbslosigkeit und neue Beschäftigungspotentiale eröffnen,1998,504,692,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
11,Über tarifliche Anstrengungen hinaus müssen öffentliche Kompensationsangebote eingeführt werden,1998,504,697,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
12,Dazu gehören die nach der grünen Einkommensteuerreform vorgesehene Anhebung des steuerlichen Existenzminimums und des Kindergeldes,1998,504,698,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
13,Aus den Mitteln der Bundesanstalt für Arbeit sind differenzierte Modelle befristeter Teilzeitbeihilfen und des Teilarbeitslosengeldes zu finanzieren,1998,504,699,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
14,BÜNDNIS 90/DIE GRÜNEN setzen sich außerdem für eine individuelle Aufstockung von Rentenanwartschaften ein,1998,504,700,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
15,Mindestens die Hälfte der Mittel der Bundesanstalt für Arbeit muß für aktive Förderpolitik zur Verfügung stehen,1998,504,709,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
16,"Nach 15 Jahren stetig anwachsender Erwerbslosenzahlen ist offensichtlich, daß viele Menschen, insbesondere Langzeitarbeitslose, über die Marktkräfte allein in absehbarer Zukunft keinen Arbeitsplatz finden werden",1998,504,721,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
17,Deshalb treten wir für die langfristige Etablierung eines zusätzlichen öffentlich geförderten Beschäftigungssektors ein,1998,504,722,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
18,Damit können auch neue Aufgaben zwischen Markt und öffentlicher Hand entwickelt werden,1998,504,723,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
19,"Diese prekären Erwerbs- und Beschäftigungsmuster müssen arbeits- und sozialversicherungsrechtlich abgesichert,",1998,504,739,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
20,Jede dauerhafte Beschäftigung muß sozialversichert sein,1998,504,741,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
21,Im grünen Ökosteuer-Konzept sind Mittel für die Senkung der Arbeitslosenversicherung vorgesehen,1998,504,770,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
22,"eine soziale Grundsicherung,",1998,504,906,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
23,"Eine grundlegende Kommunalfinanzreform muß folgende Elemente enthalten: ? Die Einführung der Grundsicherung als soziales Netz gegen die Armut, auch zur Abwendung von Sozialhilfelasten für die Kommunen",1998,504,949,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
24,? die Steuerfreistellung des lebensnotwendigen Existenzminimums – der Grundfreibetrag in der Einkommensteuer wird auf 15| 000 DM/Jahr erhöht;,1998,504,969,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
25,"? die Steuersätze senken: der Eingangssteuersatz soll 18,5% betragen und der Spitzensteuersatz 45% ab einem zu versteuernden Einkommen von 120| 000 DM/Jahr;",1998,504,970,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
26,"? Aufwendungen der Steuerpflichtigen für die Risikovorsorge (Sozialabgaben, private Alters- und Krankenvorsorge etc) bis zur max Beitragshöhe der gesetzlichen Sozialversicherungen (derzeit rd 2| 500 DM/Monat) steuerfrei stellen;",1998,504,971,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
27,"Die grüne Antwort auf den gesellschaftlichen Wandel der letzten Jahrzehnte ist eine auf Selbstbestimmung, Gerechtigkeit und Nachhaltigkeit gerichtete Neuorientierung der Sozialpolitik",1998,504,1020,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
28,"Der Sozialstaat in Deutschland steht nach 16 Jahren Kohl heute am Wendepunkt: Um ihn zu verteidigen, muß er so umgebaut werden, daß er den wachsenden Anforderungen gewachsen ist",1998,504,1022,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
29,"Die Kohl-Regierung hat gesellschaftliche Umbrüche, die Massenarbeitslosigkeit und die von ihr mitverursachte Verschuldung der öffentlichen Haushalte als Argument für ihre Politik der sozialen Kälte benutzt",1998,504,1023,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
30,"Sie hat die Finanzierung der Sozialversicherungen aus dem Gleichgewicht gebracht, indem sie Aufgaben wie die deutsche Einheit und den Umgang mit der Massenerwerbslosigkeit einseitig auf die Sozialsysteme abgewälzt hat",1998,504,1024,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
31,Angesichts der immer weiter gestiegenen Beiträge haben viele ArbeitnehmerInnen das Vertrauen in die sozialen Sicherungssysteme verloren,1998,504,1025,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
32,"Die Folge ist ein gesellschaftliches Klima, in dem die wichtige Sicherheits- und Ausgleichsfunktion des Sozialstaats zunehmend in Frage gestellt wird",1998,504,1026,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
33,Der Sozialstaat braucht grundlegende Strukturreformen,1998,504,1031,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
34,"Grundlinien unserer Sozialpolitik sind eine stärkere Orientierung am Bedarf,",1998,504,1032,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
35,"die Einbeziehung aller in die Solidarsysteme,",1998,504,1033,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
36,"Die Sicherungssysteme müssen so konzipiert und finanziert werden, daß soziale Sicherheit auch für zukünftige Generationen als Grundbestandteil des gesellschaftlichen Zusammenlebens ermöglicht wird",1998,504,1036,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
37,BÜNDNIS 90/DIE GRÜNEN beziehen den tiefgreifenden Umbruch in der Arbeitswelt hin zu flexiblen Erwerbsverläufen als Grundelement in ihre sozialpolitischen Konzepte ein,1998,504,1037,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
38,"BÜNDNIS 90/DIE GRÜNEN wollen ein soziales Netz schaffen, das die Risiken absichert, den Lebensunterhalt zeitweise oder dauerhaft nicht bestreiten zu können",1998,504,1038,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
39,Das Verhältnis der Sicherungssysteme zwischen Phasen der Erwerbsarbeit und denen mit anderen Beschäftigungen muß flexibel sein und ineinandergreifen,1998,504,1039,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
40,"Nur eine moderne Sozialpolitik, der dies gelingt, kann ihrer Aufgabe gerecht werden, im Zusammenspiel mit der Arbeitsmarktpolitik soziale Sicherheit und gerechte Chancen für alle zu gewähren",1998,504,1040,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
41,"Die Einführung der sozialen Grundsicherung und eine verbindliche soziale Infrastruktur, die sich an den Erfordernissen der Betroffenen und an Planungssicherheit orientiert, sind unsere sozialpolitischen Reformschwerpunkte",1998,504,1041,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
42,Dazu gehört eine aktive Politik zugunsten von Menschen mit Kindern und eine tragfähige Alterssicherung,1998,504,1042,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
43,Wir stehen für ein solidarisches und leistungsfähiges Gesundheitssystem,1998,504,1043,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
44,ebenso wie für eine Neuorientierung in der Wohnungspolitik,1998,504,1044,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
45,Insbesondere betrifft das eine stark verbesserte Anerkennung der Erziehungs- und Pflegearbeit,1998,504,1051,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
46,Zentrales Element aktiver Sozialpolitik ist die Sicherstellung einer vielfältigen sozialen Infrastruktur,1998,504,1063,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
47,"Beratungsstellen, Jugendzentren, Freizeit- und Betreuungsangebote sind wichtige Bausteine, um Selbstbestimmung und gegenseitige Unterstützung zu eröffnen",1998,504,1064,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
48,Bündnis 90/Die Grünen wollen das soziale Netz gegen Armut auf eine neue Grundlage stellen,1998,504,1071,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
49,"Die Hilfe zum Lebensunterhalt, die Arbeitslosenhilfe und Leistungen nach dem Asylbewerberleistungsgesetz sollen durch eine bedarfsorientierte Grundsicherung abgelöst werden",1998,504,1072,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
50,"Die bisherige Sozialhilfe bietet schon lange keinen wirksamen Schutz vor Armut mehr, weil ihre Leistungen mit den gestiegenen Kosten nicht Schritt gehalten haben",1998,504,1073,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
51,"Wir wollen mit unserer Grundsicherung den sozio-kulturellen Mindestbedarf für alle decken, die über kein ausreichendes Einkommen oder Vermögen verfügen und die in Deutschland leben, unabhängig von Nationalität und Aufenthaltsstatus",1998,504,1074,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
52,"Die bestehende Hilfe in besonderen Lebenslagen bleibt erhalten, z|B| bei Behinderung, Pflegebedürftigkeit oder Wohnungsverlust",1998,504,1075,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
53,Unser Grundsicherungsmodell sieht eine allgemeine Pauschale und eine Pauschale für die warmen Wohnkosten vor,1998,504,1079,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
54,"Leben mehrere Personen zusammen, sollen alle einen individuellen Anspruch auf Grundsicherung zu gleichen Teilen haben",1998,504,1080,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
55,Die Pauschalen werden regelmäßig den gestiegenen Lebenshaltungskosten angepaßt,1998,504,1081,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
56,Zudem werden die Kranken- und Pflegeversicherungsbeiträge und bei erwerbslosen EmpfängerInnen die Beiträge zur Arbeitslosenversicherung übernommen,1998,504,1082,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
57,Ältere Menschen und Behinderte erhalten Mehrbedarfszuschläge,1998,504,1083,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
58,"Das Grundsicherungsniveau muß dem finanziellen Regelbedarf zur Führung eines menschenwürdigen Lebens entsprechen, zu dem auch die notwendigen Kosten der Teilhabe am gesellschaftlichen, kulturellen und politischen Leben sowie Spielräume eigenständigen Wirtschaftens gehören",1998,504,1084,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
59,"Für die Einführung ergibt sich daher für die allgemeine Pauschale für Alleinstehende ein Betrag um 800 DM, für jede weitere Person kommen 560 DM hinzu",1998,504,1085,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
60,Eine Sachverständigenkommission unter Einbeziehung von VertreterInnen der Betroffenenorganisationen soll danach zeitnah Empfehlungen für ein Bedarfsbemessungssystem und die Grundsicherungshöhe erarbeiten,1998,504,1086,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
61,"Maßstab für existenzsicherndes Einkommen soll nicht der Bezug auf untere Lohngruppen, sondern der tatsächliche Bedarf sein",1998,504,1087,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
62,"Die vorgeschlagene Bedarfshöhe kann für eine mehrköpfige Familie zu Grundsicherungsleistungen führen, die höher liegen als ein geringes Erwerbseinkommen von Alleinverdiener-Haushalten",1998,504,1088,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
63,"Diesen Menschen wäre nicht damit gedient, wenn per ”Lohnabstandsgebot” die Sozialleistungen auf ein noch niedrigeres, nicht mehr menschenwürdiges Niveau festgeschrieben würden; deshalb lehnen wir dies ab",1998,504,1090,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
64,"Wer zuwenig verdient, um die eigene Existenz oder die der Familie zu sichern, erhält aufstockende Grundsicherung",1998,504,1091,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
65,und das Kindergeld erhöht wird,1998,504,1094,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
66,"Damit den arbeitslos gemeldeten BezieherInnen von Grundsicherung die Möglichkeit offensteht, wieder auf eigenen Beinen zu stehen, haben alle erwerbslosen GrundsicherungsbezieherInnen das Recht, an Arbeitsförderungsmaßnahmen teilzunehmen",1998,504,1095,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
67,Außerdem wollen wir die Zuverdienstmöglichkeiten verbessern,1998,504,1096,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
68,Eine Diskriminierung durch Leistungskürzungen und Zwangsarbeiten lehnen wir ab,1998,504,1097,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
69,Für die Grundsicherung werden die Unterhaltsregelungen zeitgemäß angepaßt,1998,505,1099,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,505,right,Germany_Bündnis‘90/Die Grünen_1998_right,Die Grünen
70,"BÜNDNIS 90/DIE GRÜNEN wollen die Unterhaltspflicht daher im Rahmen der Grundsicherung auf diejenigen beschränken, die tatsächlich als Lebensgemeinschaft zusammenleben",1998,504,1100,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
71,Dann sind Eltern gegenüber ihren Kindern bis zur Erstausbildung unterhaltspflichtig,1998,505,1101,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,505,right,Germany_Bündnis‘90/Die Grünen_1998_right,Die Grünen
72,"Nimmt ein Partner einer Ehe oder eheähnlichen Gemeinschaft Grundsicherung in Anspruch, gehen zivilrechtliche Unterhaltsansprüche auf den Grundsicherungsträger über",1998,505,1102,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,505,right,Germany_Bündnis‘90/Die Grünen_1998_right,Die Grünen
73,Im Rahmen unseres Einkommensteuerkonzepts wollen wir zunächst ein einheitliches Kindergeld in Höhe von 300 DM pro Kind einführen,1998,504,1114,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
74,und die Betreuungsmöglichkeiten von Kindern verbessern,1998,504,1115,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
75,"Neben dem Rechtsanspruch auf einen Kindergartenplatz muß auch für Kinder unter drei Jahren und Schulkinder ein vielseitiges Betreuungsangebot offenstehen, wobei den Kommunen dafür finanzielle Spielräume eröffnet werden müssen",1998,504,1117,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
76,Im Rahmen der Grundsicherung sind gegenüber der heutigen Sozialhilfe deutlich höhere Ansprüche der Kinder vorgesehen,1998,504,1118,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
77,Die Existenzsicherung während der Inanspruchnahme des Erziehungs”urlaubs” soll deutlich über dem derzeitigen Erziehungsgeld liegen und die Einkommensgrenzen sollen angehoben werden,1998,504,1122,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
78,Dazu gehören die eigenständigen Ansprüche auf Grundsicherung,1998,504,1127,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
79,Für BÜNDNIS 90/DIE GRÜNEN ist die Gewährleistung einer solidarischen Altersvorsorge - und insbesondere die Absicherung gegen Altersarmut - eine der entscheidenden Aufgaben,1998,504,1137,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
80,Die gesetzliche Rentenversicherung und der Generationenvertrag sind aus dem Gleichgewicht geraten,1998,504,1138,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
81,"Grund sind die Überfrachtung durch die Finanzierung gesamtgesellschaftlicher Aufgaben, und daß immer weniger BeitragszahlerInnen immer mehr RentnerInnen gegenüberstehen",1998,504,1139,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
82,"Gleichzeitig sind schon heute viele Renten, insbesondere von Frauen, zum Leben nicht ausreichend",1998,504,1140,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
83,"Auf der anderen Seite kann von der jungen Generation nicht verlangt werden, steigende Beiträge für die heutigen RentnerInnen aufzubringen, wenn fraglich ist, ob sich Rentenansprüche später überhaupt noch realisieren lassen",1998,504,1141,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
84,"Wir wollen daher das Rentensystem umfassend reformieren,",1998,504,1142,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
85,Primäres Ziel ist eine existenzabsichernde Rente für alle,1998,504,1146,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
86,Die heutige erhebliche Differenzierung der Rentenhöhen muß durch die Einführung von mindestsichernden Elementen zugunsten einer wirksamen Vermeidung von Altersarmut verringert werden,1998,504,1147,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
87,"Ein reformiertes Rentensystem erfordert zudem einen erhöhten Finanzierungsanteil aus Steuermitteln, um die Einbeziehung wichtiger neuer Elemente nicht den BeitragszahlerInnen aufzubürden",1998,504,1148,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
88,Ein Kernpunkt der grünen Rentenreform ist die Einführung pauschalierter Beitragszeiten,1998,504,1152,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
89,"Durch die deutlich verbesserte Anerkennung von Bildungs- und Weiterbildungsphasen, Unterbrechungen der Erwerbstätigkeit und die vollständige Anerkennung von Kindererziehungszeiten werden dem Rentensystem realistische Lebens- und Erwerbsverläufe zugrunde gelegt",1998,504,1153,41113_199809,41,41113,Germany,Bündnis‘90/Die Grünen,Alliance‘90/Greens,504,left,Germany_Bündnis‘90/Die Grünen_1998_left,Die Grünen
